30	班昭	女	86.00	79.00	96.00	261.00
29	郑和	男	90.00	88.00	82.00	260.00
28	貂蝉	女	81.00	93.00	79.00	253.00
27	杜甫	男	85.00	82.00	88.00	255.00
26	吕雉	女	92.00	75.00	91.00	258.00
25	玄奘	男	78.00	89.00	84.00	251.00
24	长孙皇后	女	89.00	94.00	85.00	268.00
23	关羽	男	82.00	77.00	90.00	249.00
22	文成公主	女	97.00	86.00	83.00	266.00
21	韩信	男	75.00	84.00	97.00	256.00
20	孝庄皇后	女	86.00	90.00	78.00	254.00
19	李白	男	93.00	81.00	92.00	266.00
18	黄道婆	女	80.00	83.00	89.00	252.00
17	张飞	男	84.00	95.00	75.00	254.00
16	穆桂英	女	91.00	78.00	82.00	251.00
15	王安石	男	77.00	87.00	94.00	258.00
14	西施	女	85.00	92.00	81.00	258.00
13	岳飞	男	88.00	80.00	93.00	261.00
12	蔡文姬	女	79.00	91.00	86.00	256.00
11	霍去病	男	94.00	85.00	77.00	256.00
10	杨玉环	女	83.00	89.00	80.00	252.00
9	曹操	男	90.00	76.00	88.00	254.00
8	花木兰	女	87.00	82.00	95.00	264.00
7	司马迁	男	81.00	94.00	79.00	254.00
6	王昭君	女	92.00	77.00	84.00	253.00
5	诸葛亮	男	76.00	85.00	90.00	251.00
4	武则天	女	89.00	93.00	87.00	269.00
3	李世民	男	82.00	79.00	91.00	252.00
2	李清照	女	95.00	88.00	76.00	259.00
1	嬴政	男	78.00	92.00	85.00	255.00
